Absolute zero,Absolutna ničla
Parameter-dependent integral,Integral s parametrom
Parity,Parnost
Partial derivative,Parcialni odvod
Particle accelerator,Pospeševalnik
Particle physics,Fizika osnovnih delcev
Particle,Delec
Partition function (statistical physics),Fazna vsota/integral (statistična fizika)
Pauli exclusion principle,Paulijevo izključitveno načelo
Pendulum,Nihalo
Period,Nihajni čas
Permeability,Permeabilnost
Permittivity,Permitivnost
Perpendicular,Pravokoten
Perturbation theory,Teorija motenj
Perturbation,Motnja
Phase equilibrium,Fazno ravnovesje
Phase space,Fazni prostor
Phase velocity,Fazna hitrost
Phase,Faza
Photoelectric effect,Fotoelektrični pojav
Photon,Foton
Photonics,Fotonika
Physical constant,Fizikalna konstanta
Physical quantity,Fizikalna količina
Physics,Fizika
Piecewise continuous,Odsekoma zvezen
Piezoelectricity,Piezoelektričnost
Plane wave,Ravni val
Plasticity,Plastičnost
Plate,Plošča
Polynomial,Polinom
Position vector,Radij vektor
Position,Položaj
Potential energy,Potencialna energija
Power (exponent),Potenca (eksponent)
Power,Moč
Pressure,Tlak
Primitive vector,Primitivni vektor
Principle of relativity,Načelo relativnosti
Probability distribution,Verjetnostna porazdelitev
Probability,Verjetnost
Projection,Projekcija
Proposition,Trditev
Pulley,Škripec
Quantum electrodynamics,Kvanta elektrodinamika
Quantum field theory,Kvanta teorija polja
Quantum gravity,Kvanta gravitacija
Quantum mechanics,Kvanta mehanika
Quantum number,Kvantno število
Quantum state,Kvantno stanje
Radiation,Sevanje
Radioactive decay,Radioaktivni razpad
Radius of curvature,Radij ukrivljenosti
Radius,Radij
Ratio,Razmerja
Reduced mass,Reducirana masa
Refraction,Lom
Refractive index,Lomni količnik
Relativistic mass,Relativistična masa
Residue (complex analysis),Residuum (kompleksna analiza)
Resistivity,Specifična upornost
Resolution,Ločljivost
Rest frame,Mirovni sistem
Rigid body,Togo telo
Rod,Palica
Rotation,Rotacija
Sample,Vzorec
Scalar,Skalar
Scale,Skala
Scattering cross section,Sipalni presek
Scattering,Sipanje
Self-adjoint operator,Sebi-adjungiran operator
Semiconductor,Polprevodnik
Sequence,Zaporedje
Series circuit,Zaporedno vezje
Series expansion,Razvoj v vrsto
Set,Množica
Shear force,Strižna sila
Shear modulus,Strižni modul
Shear strain,Strižna deformacija
Shear stress,Strižna napetost
Shell model (nuclear physics),Lupinski model (fizika jedra)
Shell,Lupina
Sink,Ponor
Skin effect,Kožni pojav
Slit,Reža
Solid angle,Prostorski kot
Solid-state physics,Fizika trdne snovi
Solubility,Topnost
Solution,Rešitev
Sound,Zvok
Source,Izvor
Special theory of relativity,Posebna teorija relativnosti
Speed of light,Hitrost svetlobe
Speed of sound,Hitrost zvoka
Speed,Hitrost
Sphere,Sfera
Spin,Spin
Standard deviation,Standardna deviacija
Standing wave,Stoječi val
State of matter,Faza snovi
Statics,Statika
Stationary state,Stacionarno stanje
Statistical mechanics,Statistična mehanika
Stiffness,Togost
Strain,Deformacija
Streamline,Tokovnica
Stress,Mehanska napetost
Sublimation,Sublimacija
Sum,Vsota
Superconductivity,Superprevodnost
Superconductor,Superprevodnik
Surface (surface),Ploskev (matematika)
Surface area,Površina
Surface tension,Površinska napetost
Surface,Površina
Surjective mapping,Surjektivna preslikava
Symmetry,Simetrija
Tangent,Tangenta
Temperature,Temperatura
Theorem,Izrek
Theory of relativity,Teorija relativnosti
Thermal conduction,Kondukcija
Thermal conductivity,Toplotna prevodnost
Thermal equilibrium,Toplotno ravnovesje
Thermodynamics,Termodinamika
Thermometer,Termometer
Time constant,Časovna konstanta
Time,Čas
Torque,Navor
Torsion coefficient,Torzijski koeficient
Torsion,Torzija
Total internal reflection,Popolni odboj
Trajectory,Tirnica
Transfer matrix,Prenosna matrika
Transition,Prehod
Transport phenomenon,Transportni pojav
Transverse wave,Transverzalni val
Trigonometry,Trigonometrija
Triple point,Trojna točka
Uncertainty principle,Načelo nedoločenosti
Uniform circular motion,Enakomerno kroženje
Uniform convergence,Enakomerna konvergenca
Uniform motion,Enakomerno gibanje
Union (set theory),Unija (teorija množic)
Unit cell,Osnovna celica
Unit vector,Enotski vektor
Vacuum,Vakuum
Valence band,Valenčni pas
Valence electron,Valenčni elektron
Vector premika,Displacement vector
Vector space,Vektorski prostor
Vector,Vektor
Velocity,Hitrost
Virial expansion,Virialni razvoj
Virial theorem,Virialni teorem
Viscosity,Viskoznost
Visible light,Vidna svetloba
Voltage,Električna napetost
Voltmeter,Voltmeter
Volume charge density,Volumska gostota naboja
Volume density,Volumska gostota
Volume,Volumen
Volumetric flow rate,Volumski pretok
Wave equation,Valovna enačba
Wave front,Valovna fronta
Wave function,Valovna funkcija
Wave number,Valovno število
Wave packet,Valovni paket
Wave vector,Valovni vektor
Wave,Val
Wavelength,Valovna dolžina
Weak interaction,Šibka interakcija
Wedge,Klin
Weight,Teža
Wheel,Kolo
Width,Širina
Work function,Izstopno delo
Work,Delo
Young's modulus,Youngov modul
p-n junction (solid state physics),p-n stik (fizika trdne snovi)
